Store,Item,Category,Description,Part Number / Spec,Qty,Unit Price (CAD $),Subtotal (CAD $),13% Tax (CAD $),Total (CAD $),Total (USD $),Product URL
DigiKey,1,Flight Controller PCB (DigiKey),IC MCU 32BIT 512KB FLSH 48UFQFPN,STM32F411CEU6,1.0,12.85,12.85,1.67,14.52,10.55,https://www.digikey.ca/en/products/detail/stmicroelectronics/STM32F411CEU6/4935043
DigiKey,2,Flight Controller PCB (DigiKey),IMU ACCEL/GYRO I2C/SPI 14LGA,BMI270,1.0,6.71,6.71,0.87,7.58,5.51,https://www.digikey.ca/en/products/detail/bosch-sensortec/BMI270/13539829
DigiKey,3,Flight Controller PCB (DigiKey),IC REG LINEAR 3.3V 300MA SOT23-5,AP2127K-3.3TRG1,1.0,0.38,0.38,0.05,0.43,0.31,https://www.digikey.ca/en/products/detail/diodes-incorporated/AP2127K-3.3TRG1/4470764
DigiKey,4,Flight Controller PCB (DigiKey),IC REG BUCK ADJ 3A SOT23,TPS54302DDCR,1.0,2.24,2.24,0.29,2.53,1.84,https://www.digikey.ca/en/products/detail/texas-instruments/TPS54302DDCR/6005786
DigiKey,5,Flight Controller PCB (DigiKey),CONN HEADER SMD R/A 8POS 1MM,SM08B-SRSS-TB,1.0,1.26,1.26,0.16,1.42,1.03,https://www.digikey.ca/en/products/detail/jst-sales-america-inc/SM08B-SRSS-TB/926611
DigiKey,6,Flight Controller PCB (DigiKey),DIODE SCHOTTKY 30V 1A SMA,B130L-13-F,1.0,0.92,0.92,0.12,1.04,0.76,https://www.digikey.ca/en/products/detail/diodes-incorporated/B130L-13-F/815253
DigiKey,7,Flight Controller PCB (DigiKey),LED GREEN CLEAR CHIP SMD 0603,APT1608SGC,2.0,0.3,0.6,0.08,0.68,0.49,https://www.digikey.ca/en/products/detail/kingbright/APT1608SGC/1922572
DigiKey,8,Flight Controller PCB (DigiKey),CAP CER 0.1UF 16V X7R 0402,CL05B104KO5NNNC,50.0,0.02,0.85,0.11,0.96,0.7,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05B104KO5NNNC/3886662
DigiKey,9,Flight Controller PCB (DigiKey),CAP CER 1UF 16V X5R 0402,CL05A105KO5NNNC,3.0,0.16,0.48,0.06,0.54,0.39,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05A105KO5NNNC/3886728
DigiKey,10,Flight Controller PCB (DigiKey),CAP CER 2.2UF 10V X5R 0402,CL05A225KP5NNNC,2.0,0.22,0.44,0.06,0.5,0.36,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05A225KP5NNNC/3887123
